,Name,Age,Tm,wOBA,wRAA,BA,SLG,OBP,BAbip,SB,HR,BB,1B,2B,3B,SO,Reliability,bat_WAR
70,Blake Berry,26,SCH,0.3381246810851298,-7.548783344782647,0.2767777777777778,0.38066666666666665,0.37144444444444447,0.31457279985070885,8,4,44,63,17,0,53,1.0,-0.7548783344782647
71,Anthony Brocato,28,WST,0.39328941063416867,7.163640786700053,0.28574999999999995,0.5843333333333334,0.35833333333333334,0.3284904000493888,8,25,36,48,20,1,103,1.0,0.7163640786700053
72,Paul Coumoulos,25,WCT,0.3189780324431258,-14.547664227539592,0.28442029392661394,0.39992331829667593,0.3360738332354616,0.33408201789750563,2,4,19,59,15,1,56,0.8325,-1.4547664227539592
73,Mark Vierling,25,GAT,0.3556138316187954,-3.072062220584674,0.2872740733326215,0.4437362607658908,0.36591372615488643,0.31695920905717906,8,6,26,46,12,1,40,0.635,-0.30720622205846737
74,Tristin Garcia,24,FLR,0.35077147577550116,-2.4674829624412986,0.2899220954783258,0.415501515321375,0.37400414891629297,0.3352927300173352,1,4,20,40,10,0,35,0.4225,-0.24674829624412986
75,Jeffrey Baez,30,EVN,0.3567118470374243,-4.702566530884893,0.28135708506833224,0.4961252164744822,0.339316664130899,0.3139579609912521,14,13,21,48,11,3,64,0.9175,-0.47025665308848935
76,Jason DiCochea,26,OTT,0.35333784367402943,-6.490961964450522,0.2924444444444445,0.47388888888888886,0.3503333333333334,0.3140801152864699,6,11,25,65,23,3,56,1.0,-0.6490961964450521
77,David Vinsky,25,RKL,0.39137928370412345,6.669700333610431,0.31066666666666665,0.4925555555555555,0.4056666666666667,0.3595164232516528,10,13,50,73,22,1,75,1.0,0.6669700333610431
78,Kyle Crowl,26,QUE,0.3794909111725921,1.2702645145244282,0.29044444444444445,0.4771111111111111,0.3897777777777778,0.35265170559288206,7,13,47,61,17,0,84,1.0,0.12702645145244282
79,Todd Isaacs,28,LEC,0.3480425378178682,-5.255105280325597,0.30083333333333334,0.4544166666666667,0.33924999999999994,0.36556528376569275,17,9,13,62,12,1,68,1.0,-0.5255105280325597
80,Jaxon Hallmark,25,TRC,0.3414134091475514,-9.82570553621867,0.2769202282190903,0.3981119362588085,0.3530890895259449,0.3415106971632199,30,7,32,62,14,0,75,0.955,-0.9825705536218671
81,Juremi Profar,28,QUE,0.3434452736318408,-9.757953471710723,0.276,0.445,0.346,0.2847682119205298,1,12,31,59,16,0,41,1.0,-0.9757953471710723
82,Justin Gideon,29,QUE,0.3720572139303482,-0.20530677161475738,0.275,0.523,0.356,0.2979591836734694,9,18,33,45,11,2,71,1.0,-0.02053067716147574
83,Dakota Phillips,28,EVN,0.3849228158252028,0.1337580734745467,0.29188888888888886,0.5315555555555556,0.3778888888888889,0.391112049648635,0,17,41,52,24,0,115,1.0,0.013375807347454671
84,Josh Sears,25,ESG,0.35961570411477467,-4.034854904589493,0.2760188520090398,0.46210232160652004,0.36553209449960855,0.34709733004890525,0,14,39,55,12,0,90,0.9525,-0.4034854904589493
85,Luis Atiles,28,ESG,0.3477831383323752,-4.034754432814827,0.2839339108210548,0.4021857065449497,0.3766468803384582,0.3323210738172208,8,4,28,44,10,0,41,0.5575,-0.4034754432814827
86,Alex Toral,25,NJJ,0.40300800216567095,9.878624998034603,0.27456123789949466,0.5410288534771158,0.4042800497366361,0.30679443448324256,0,21,60,45,11,0,80,0.975,0.9878624998034603
87,Christian Fedko,26,JOL,0.34586403356789913,-4.912167117004785,0.28208668744216664,0.40832222889529496,0.3705657709178589,0.3214558902713721,8,4,28,46,11,1,40,0.6125,-0.4912167117004785
88,Lamar Briggs,28,TRC,0.3525711513264007,-2.115345588821884,0.28648633821802255,0.4278238274076445,0.3728596787582746,0.3324583381733814,7,5,20,37,8,0,38,0.4075,-0.21153455888218842
89,Jake Sanford,26,OTT,0.3527863247863248,-0.44453959385972786,0.2887777777777778,0.44166666666666665,0.36477777777777776,0.3115942028985507,2,8,22,45,6,0,35,1.0,-0.04445395938597278
90,Abdiel Diaz,29,GAT,0.3326979367373153,-8.836353415395667,0.27,0.352875,0.37,0.3145322580645161,16,2,32,46,9,0,38,1.0,-0.8836353415395667
91,Marcos Castillo,25,NJJ,0.3420563440746172,-3.6907863324158745,0.2844295954783258,0.417191515321375,0.35541414891629297,0.3422227464197409,9,4,18,39,10,1,42,0.4225,-0.36907863324158746
92,Zach Huffins,25,SCH,0.33137754872759556,-5.395691107370243,0.284002852738629,0.40764920323510556,0.3441761190743113,0.3444482678353964,10,4,16,42,8,0,46,0.4375,-0.5395691107370243
93,Kona Quiggle,26,EVN,0.3681247002398081,-1.5782231494487844,0.268,0.462,0.379,0.354978354978355,14,10,48,48,19,4,96,1.0,-0.15782231494487844
94,Broc Mortensen,25,JOL,0.3480795534700085,-2.185108059147968,0.28643668054665805,0.4226217317958572,0.364233313047192,0.3598988552523211,10,4,17,36,7,0,45,0.33999999999999997,-0.2185108059147968
95,Juan Santana,29,SSX,0.3330694048714554,-13.344490284048092,0.2807777777777778,0.4492222222222222,0.3214444444444444,0.2798147905790884,8,10,21,62,18,3,31,1.0,-1.3344490284048092
96,Jason Agresti,28,SSX,0.34664970622279,-5.371454877189468,0.2855,0.41925,0.36924999999999997,0.3230783338163322,0,6,29,52,15,0,46,1.0,-0.5371454877189468
97,GJ Hill,23,JOL,0.38279689601960604,2.886867536495083,0.2742974931044914,0.5135120029005623,0.365870042129333,0.3515578188770529,14,13,30,39,13,3,83,0.7275,0.2886867536495083
98,Jackie Urbaez,26,OTT,0.35212369643634456,-4.023920327988316,0.27175,0.3858333333333333,0.39875,0.32674287856071965,6,5,34,55,10,1,59,1.0,-0.4023920327988316
99,Joey Terdoslavich,35,OTT,0.35126955739027926,-1.8078098470163944,0.2858353043366075,0.4317021171435688,0.3693838180208555,0.3358477501230094,0,4,18,31,8,0,33,0.3375,-0.18078098470163945
